Year,Region,Economic Category,National Inventory Category,National Inventory Sub-category,National Inventory Sub-sub-category,CO2eq,Unit
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Industrial Processes and Product Use,Other Product Manufacture and Use,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Industrial Processes and Product Use,Total,,0.083846,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Agriculture,Manure Management,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Agriculture,Enteric Fermentation,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Agriculture,Agriculture Soils,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Agriculture,Total,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Waste,Solid Waste Disposal,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Waste,Biological Treatment of Solid Waste,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Waste,Wastewater Treatment and Discharge,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Waste,Incineration and Open Burning of Waste,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Waste,Industrial Wood Waste Landfills,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",Waste,Total,,0,Mt
2000,Alberta,"Oil Sands (Mining, In-Situ, Upgrading)",CO2 Captured,Total,,0,Mt
2000,Alberta,Mining and Extraction,Total,,,3.337850308,Mt
2000,Alberta,Mining and Extraction,Energy,Stationary Combustion,Stationary,0.927039217,Mt
2000,Alberta,Mining and Extraction,Energy,Stationary Combustion,Electricity,0.606120447,Mt
2000,Alberta,Mining and Extraction,Energy,Stationary Combustion,Steam for Sale,0,Mt
2000,Alberta,Mining and Extraction,Energy,Transport,,0.689633638,Mt
2000,Alberta,Mining and Extraction,Energy,Fugitive (Unintentional),,1.031211005,Mt
2000,Alberta,Mining and Extraction,Energy,Flaring,,0,Mt
2000,Alberta,Mining and Extraction,Energy,Venting,,0,Mt
2000,Alberta,Mining and Extraction,Energy,Total,,3.254004308,Mt
2000,Alberta,Mining and Extraction,Industrial Processes and Product Use,Mineral Products,,0,Mt
2000,Alberta,Mining and Extraction,Industrial Processes and Product Use,Chemical Industry,,0,Mt
2000,Alberta,Mining and Extraction,Industrial Processes and Product Use,Metal Production,,0,Mt
2000,Alberta,Mining and Extraction,Industrial Processes and Product Use,"Consumption of Halocarbons, SF6 and NF3",,0,Mt
2000,Alberta,Mining and Extraction,Industrial Processes and Product Use,Non-Energy Products from Fuels and Solvent Use,,0.083846,Mt
2000,Alberta,Mining and Extraction,Industrial Processes and Product Use,Other Product Manufacture and Use,,0,Mt
2000,Alberta,Mining and Extraction,Industrial Processes and Product Use,Total,,0.083846,Mt
2000,Alberta,Mining and Extraction,Agriculture,Manure Management,,0,Mt
2000,Alberta,Mining and Extraction,Agriculture,Enteric Fermentation,,0,Mt
2000,Alberta,Mining and Extraction,Agriculture,Agriculture Soils,,0,Mt
2000,Alberta,Mining and Extraction,Agriculture,Total,,0,Mt
2000,Alberta,Mining and Extraction,Waste,Solid Waste Disposal,,0,Mt
2000,Alberta,Mining and Extraction,Waste,Biological Treatment of Solid Waste,,0,Mt
2000,Alberta,Mining and Extraction,Waste,Wastewater Treatment and Discharge,,0,Mt
2000,Alberta,Mining and Extraction,Waste,Incineration and Open Burning of Waste,,0,Mt
2000,Alberta,Mining and Extraction,Waste,Industrial Wood Waste Landfills,,0,Mt
2000,Alberta,Mining and Extraction,Waste,Total,,0,Mt
2000,Alberta,Mining and Extraction,CO2 Captured,Total,,0,Mt
2000,Alberta,In-Situ,Total,,,9.214718394,Mt
2000,Alberta,In-Situ,Energy,Stationary Combustion,Stationary,5.382584375,Mt
2000,Alberta,In-Situ,Energy,Stationary Combustion,Electricity,0.299971026,Mt
2000,Alberta,In-Situ,Energy,Stationary Combustion,Steam for Sale,0,Mt
2000,Alberta,In-Situ,Energy,Transport,,0.001244961,Mt
2000,Alberta,In-Situ,Energy,Fugitive (Unintentional),,0.01009224,Mt
2000,Alberta,In-Situ,Energy,Flaring,,0.548378399,Mt
2000,Alberta,In-Situ,Energy,Venting,,2.972447393,Mt
2000,Alberta,In-Situ,Energy,Total,,9.214718394,Mt
2000,Alberta,In-Situ,Industrial Processes and Product Use,Mineral Products,,0,Mt
2000,Alberta,In-Situ,Industrial Processes and Product Use,Chemical Industry,,0,Mt
2000,Alberta,In-Situ,Industrial Processes and Product Use,Metal Production,,0,Mt
2000,Alberta,In-Situ,Industrial Processes and Product Use,"Consumption of Halocarbons, SF6 and NF3",,0,Mt
2000,Alberta,In-Situ,Industrial Processes and Product Use,Non-Energy Products from Fuels and Solvent Use,,0,Mt
2000,Alberta,In-Situ,Industrial Processes and Product Use,Other Product Manufacture and Use,,0,Mt
2000,Alberta,In-Situ,Industrial Processes and Product Use,Total,,0,Mt
2000,Alberta,In-Situ,Agriculture,Manure Management,,0,Mt
2000,Alberta,In-Situ,Agriculture,Enteric Fermentation,,0,Mt
2000,Alberta,In-Situ,Agriculture,Agriculture Soils,,0,Mt
2000,Alberta,In-Situ,Agriculture,Total,,0,Mt
2000,Alberta,In-Situ,Waste,Solid Waste Disposal,,0,Mt
2000,Alberta,In-Situ,Waste,Biological Treatment of Solid Waste,,0,Mt
2000,Alberta,In-Situ,Waste,Wastewater Treatment and Discharge,,0,Mt
2000,Alberta,In-Situ,Waste,Incineration and Open Burning of Waste,,0,Mt
2000,Alberta,In-Situ,Waste,Industrial Wood Waste Landfills,,0,Mt
2000,Alberta,In-Situ,Waste,Total,,0,Mt
2000,Alberta,In-Situ,CO2 Captured,Total,,0,Mt
2000,Alberta,Upgrading,Total,,,11.16581574,Mt
2000,Alberta,Upgrading,Energy,Stationary Combustion,Stationary,8.153661747,Mt
2000,Alberta,Upgrading,Energy,Stationary Combustion,Electricity,1.096542996,Mt
2000,Alberta,Upgrading,Energy,Stationary Combustion,Steam for Sale,0,Mt
2000,Alberta,Upgrading,Energy,Transport,,0,Mt
2000,Alberta,Upgrading,Energy,Fugitive (Unintentional),,0.011541626,Mt
2000,Alberta,Upgrading,Energy,Flaring,,0.106352,Mt
2000,Alberta,Upgrading,Energy,Venting,,1.797717369,Mt
2000,Alberta,Upgrading,Energy,Total,,11.16581574,Mt
2000,Alberta,Upgrading,Industrial Processes and Product Use,Mineral Products,,0,Mt
2000,Alberta,Upgrading,Industrial Processes and Product Use,Chemical Industry,,0,Mt
2000,Alberta,Upgrading,Industrial Processes and Product Use,Metal Production,,0,Mt
2000,Alberta,Upgrading,Industrial Processes and Product Use,"Consumption of Halocarbons, SF6 and NF3",,0,Mt
2000,Alberta,Upgrading,Industrial Processes and Product Use,Non-Energy Products from Fuels and Solvent Use,,0,Mt
2000,Alberta,Upgrading,Industrial Processes and Product Use,Other Product Manufacture and Use,,0,Mt
2000,Alberta,Upgrading,Industrial Processes and Product Use,Total,,0,Mt
2000,Alberta,Upgrading,Agriculture,Manure Management,,0,Mt
