"REF_DATE","GEO","DGUID","Coal and coke, components","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1946-12","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","115","","","","0"
"1947-01","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1542","","","","0"
"1947-01","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","1006","","","","0"
"1947-01","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","364","","","","0"
"1947-01","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","172","","","","0"
"1947-01","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","1169","","","t","0"
"1947-01","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","2652","","","t","0"
"1947-01","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","307","","","","0"
"1947-01","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","474","","","","0"
"1947-01","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","29","","","","0"
"1947-01","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","172","","","","0"
"1947-01","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","738","","","","0"
"1947-01","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","129","","","","0"
"1947-02","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1031","","","","0"
"1947-02","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","625","","","","0"
"1947-02","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","280","","","","0"
"1947-02","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","125","","","","0"
"1947-02","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","1070","","","t","0"
"1947-02","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","2067","","","t","0"
"1947-02","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","262","","","","0"
"1947-02","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","202","","","","0"
"1947-02","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","17","","","","0"
"1947-02","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","125","","","","0"
"1947-02","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","563","","","","0"
"1947-02","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","122","","","","0"
"1947-03","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","886","","","","0"
"1947-03","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","496","","","","0"
"1947-03","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","249","","","","0"
"1947-03","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","141","","","","0"
"1947-03","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","1147","","","t","0"
"1947-03","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","1999","","","t","0"
"1947-03","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","279","","","","0"
"1947-03","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","4","","","","0"
"1947-03","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","3","","","","0"
"1947-03","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","141","","","","0"
"1947-03","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","612","","","","0"
"1947-03","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","126","","","","0"
"1947-04","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","772","","","","0"
"1947-04","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","495","","","","0"
"1947-04","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","199","","","","0"
"1947-04","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","78","","","","0"
"1947-04","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","1406","","","t","0"
"1947-04","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","2157","","","t","0"
"1947-04","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","256","","","","0"
"1947-04","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","4","","","","0"
"1947-04","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","5","","","","0"
"1947-04","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","78","","","","0"
"1947-04","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","558","","","","0"
"1947-04","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","127","","","","0"
"1947-05","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","780","","","","0"
"1947-05","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","545","","","","0"
"1947-05","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","176","","","","0"
"1947-05","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","59","","","","0"
"1947-05","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","2820","","","t","0"
"1947-05","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","3584","","","t","0"
"1947-05","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","259","","","","0"
"1947-05","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","33","","","","0"
"1947-05","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","5","","","","0"
"1947-05","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","59","","","","0"
"1947-05","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","553","","","","0"
"1947-05","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","129","","","","0"
"1947-06","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1021","","","","0"
"1947-06","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","791","","","","0"
"1947-06","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","172","","","","0"
"1947-06","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","57","","","","0"
"1947-06","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","2991","","","t","0"
"1947-06","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","3986","","","t","0"
"1947-06","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","245","","","","0"
"1947-06","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","261","","","","0"
"1947-06","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","23","","","","0"
"1947-06","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","57","","","","0"
"1947-06","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","539","","","","0"
"1947-06","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","141","","","","0"
"1947-07","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1093","","","","0"
"1947-07","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","955","","","","0"
"1947-07","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","109","","","","0"
"1947-07","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","29","","","","0"
"1947-07","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","2542","","","t","0"
"1947-07","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","3551","","","t","0"
"1947-07","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","242","","","","0"
"1947-07","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","437","","","","0"
"1947-07","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","33","","","","0"
"1947-07","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","29","","","","0"
"1947-07","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","470","","","","0"
"1947-07","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","123","","","","0"
"1947-08","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1104","","","","0"
"1947-08","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","854","","","","0"
"1947-08","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","194","","","","0"
"1947-08","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","57","","","","0"
"1947-08","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","2872","","","t","0"
"1947-08","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","3901","","","t","0"
"1947-08","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","250","","","","0"
"1947-08","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","326","","","","0"
"1947-08","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","34","","","","0"
"1947-08","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","57","","","","0"
"1947-08","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","564","","","","0"
"1947-08","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","123","","","","0"
"1947-09","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1403","","","","0"
"1947-09","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","1058","","","","0"
"1947-09","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","223","","","","0"
"1947-09","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","122","","","","0"
"1947-09","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","3522","","","t","0"
"1947-09","Canada","","Coal made available for consumption","Tonnes","288","thousands","3","v199","1.7","4841","","","t","0"
"1947-09","Canada","","Coke production","Tonnes","288","thousands","3","v200","1.8","259","","","","0"
"1947-09","Nova Scotia","","Total coal production, all types","Tonnes","288","thousands","3","v188","2.1","486","","","","0"
"1947-09","New Brunswick","","Total coal production, all types","Tonnes","288","thousands","3","v189","3.1","41","","","","0"
"1947-09","Saskatchewan","","Total coal production, all types","Tonnes","288","thousands","3","v190","4.1","122","","","","0"
"1947-09","Alberta","","Total coal production, all types","Tonnes","288","thousands","3","v191","5.1","604","","","","0"
"1947-09","British Columbia","","Total coal production, all types","Tonnes","288","thousands","3","v192","6.1","150","","","","0"
"1947-10","Canada","","Total coal production, all types","Tonnes","288","thousands","3","v187","1.1","1574","","","","0"
"1947-10","Canada","","Bituminous","Tonnes","288","thousands","3","v194","1.2","1106","","","","0"
"1947-10","Canada","","Subbituminous","Tonnes","288","thousands","3","v195","1.3","286","","","","0"
"1947-10","Canada","","Lignite","Tonnes","288","thousands","3","v196","1.4","181","","","","0"
"1947-10","Canada","","Landed imports of coal","Tonnes","288","thousands","3","v197","1.5","3014","","","t","0"
